alacritty,repo,Terminal emulator
alsa-ucm-conf,repo,General configuration for audio chips
blueman,repo,Graphical tools for bluetooth
bluez,repo,Bluetooth Software
bluez-utils,repo,Bluetooth tools
fd,repo,Tool used in neovim
firefox,repo,Browser
gnome,repo,Gnome desktop environment
libreoffice-still,repo,Office suite
neovim,repo,Terminal text editor
npm,repo,NodeJS used in neovim
python-neovim,repo,Tool used in neovim
python-pip,repo,Management tool for python libraries
ripgrep,repo,Tool used in neovim
sof-firmware,repo,Firmware for audio chips
tmux,repo,Multiplexer program
ttf-jetbrains-mono-nerd,repo,Nerd font
ttf-jetbrains-mono,repo,Font
vlc,repo,Media Player
